"loc_id","bucket","running_total","sum","avg","max","min","province_state","country_region"
14,"2020-02-10 00:00:00+00",1004,"166","23.7142857142857143",41,3,"Hunan","Mainland China"
15,"2020-01-20 00:00:00+00",7,"7","1.4000000000000000",6,0,"Inner Mongolia","Mainland China"
15,"2020-01-27 00:00:00+00",27,"20","2.8571428571428571",4,1,"Inner Mongolia","Mainland China"
15,"2020-02-03 00:00:00+00",54,"27","3.8571428571428571",7,1,"Inner Mongolia","Mainland China"
15,"2020-02-10 00:00:00+00",70,"16","2.2857142857142857",4,0,"Inner Mongolia","Mainland China"
16,"2020-01-20 00:00:00+00",33,"33","6.6000000000000000",15,1,"Jiangsu","Mainland China"
16,"2020-01-27 00:00:00+00",236,"203","29.0000000000000000",39,14,"Jiangsu","Mainland China"
16,"2020-02-03 00:00:00+00",468,"232","33.1428571428571429",37,29,"Jiangsu","Mainland China"
16,"2020-02-10 00:00:00+00",617,"149","21.2857142857142857",28,11,"Jiangsu","Mainland China"
17,"2020-01-20 00:00:00+00",36,"36","7.2000000000000000",18,0,"Jiangxi","Mainland China"
17,"2020-01-27 00:00:00+00",333,"297","42.4285714285714286",78,0,"Jiangxi","Mainland China"
17,"2020-02-03 00:00:00+00",740,"407","58.1428571428571429",85,37,"Jiangxi","Mainland China"
17,"2020-02-10 00:00:00+00",925,"185","26.4285714285714286",40,12,"Jiangxi","Mainland China"
18,"2020-01-20 00:00:00+00",4,"4","0.80000000000000000000",2,0,"Jilin","Mainland China"
18,"2020-01-27 00:00:00+00",23,"19","2.7142857142857143",6,0,"Jilin","Mainland China"
18,"2020-02-03 00:00:00+00",78,"55","7.8571428571428571",12,4,"Jilin","Mainland China"
18,"2020-02-10 00:00:00+00",89,"11","1.5714285714285714",2,1,"Jilin","Mainland China"
19,"2020-01-20 00:00:00+00",21,"21","4.2000000000000000",13,1,"Liaoning","Mainland China"
19,"2020-01-27 00:00:00+00",70,"49","7.0000000000000000",16,2,"Liaoning","Mainland China"
19,"2020-02-03 00:00:00+00",107,"37","5.2857142857142857",8,2,"Liaoning","Mainland China"
19,"2020-02-10 00:00:00+00",121,"14","2.0000000000000000",5,0,"Liaoning","Mainland China"
20,"2020-01-20 00:00:00+00",4,"4","0.80000000000000000000",1,0,"Ningxia","Mainland China"
20,"2020-01-27 00:00:00+00",28,"24","3.4285714285714286",5,1,"Ningxia","Mainland China"
20,"2020-02-03 00:00:00+00",45,"17","2.4285714285714286",6,0,"Ningxia","Mainland China"
20,"2020-02-10 00:00:00+00",70,"25","3.5714285714285714",6,0,"Ningxia","Mainland China"
21,"2020-01-20 00:00:00+00",1,"1","0.20000000000000000000",1,0,"Qinghai","Mainland China"
21,"2020-01-27 00:00:00+00",11,"10","1.4285714285714286",5,0,"Qinghai","Mainland China"
21,"2020-02-03 00:00:00+00",18,"7","1.00000000000000000000",2,0,"Qinghai","Mainland China"
21,"2020-02-10 00:00:00+00",18,"0","0.00000000000000000000",0,0,"Qinghai","Mainland China"
22,"2020-01-20 00:00:00+00",22,"22","4.4000000000000000",10,0,"Shaanxi","Mainland China"
22,"2020-01-27 00:00:00+00",116,"94","13.4285714285714286",24,7,"Shaanxi","Mainland China"
22,"2020-02-03 00:00:00+00",208,"92","13.1428571428571429",23,8,"Shaanxi","Mainland China"
22,"2020-02-10 00:00:00+00",236,"28","4.0000000000000000",6,1,"Shaanxi","Mainland China"
23,"2020-01-20 00:00:00+00",46,"46","9.2000000000000000",19,2,"Shandong","Mainland China"
23,"2020-01-27 00:00:00+00",230,"184","26.2857142857142857",35,20,"Shandong","Mainland China"
23,"2020-02-03 00:00:00+00",444,"214","30.5714285714285714",40,16,"Shandong","Mainland China"
23,"2020-02-10 00:00:00+00",537,"93","13.2857142857142857",22,5,"Shandong","Mainland China"
24,"2020-01-20 00:00:00+00",40,"40","8.0000000000000000",13,4,"Shanghai","Mainland China"
24,"2020-01-27 00:00:00+00",182,"142","20.2857142857142857",34,13,"Shanghai","Mainland China"
24,"2020-02-03 00:00:00+00",293,"111","15.8571428571428571",24,7,"Shanghai","Mainland China"
24,"2020-02-10 00:00:00+00",328,"35","5.0000000000000000",8,2,"Shanghai","Mainland China"
25,"2020-01-20 00:00:00+00",9,"9","1.8000000000000000",5,0,"Shanxi","Mainland China"
25,"2020-01-27 00:00:00+00",66,"57","8.1428571428571429",19,0,"Shanxi","Mainland China"
25,"2020-02-03 00:00:00+00",119,"53","7.5714285714285714",15,0,"Shanxi","Mainland China"
25,"2020-02-10 00:00:00+00",129,"10","1.4285714285714286",5,0,"Shanxi","Mainland China"
26,"2020-01-20 00:00:00+00",44,"44","8.8000000000000000",16,3,"Sichuan","Mainland China"
26,"2020-01-27 00:00:00+00",231,"187","26.7142857142857143",35,18,"Sichuan","Mainland China"
26,"2020-02-03 00:00:00+00",386,"155","22.1428571428571429",28,19,"Sichuan","Mainland China"
26,"2020-02-10 00:00:00+00",481,"95","13.5714285714285714",19,7,"Sichuan","Mainland China"
27,"2020-01-20 00:00:00+00",14,"14","2.8000000000000000",4,0,"Tianjin","Mainland China"
27,"2020-01-27 00:00:00+00",48,"34","4.8571428571428571",9,1,"Tianjin","Mainland China"
